elem_idx,offset,radius,hitted,tof_total
55,-0.008,0.01,False,0
56,-0.008,0.01,False,0
57,-0.008,0.01,False,0
58,-0.008,0.01,False,0
59,-0.008,0.01,False,0
60,-0.008,0.01,False,0
61,-0.008,0.01,False,0
62,-0.008,0.01,False,0
63,-0.008,0.01,False,0
64,-0.008,0.01,False,0
0,-0.007,0.01,False,0
1,-0.007,0.01,False,0
2,-0.007,0.01,False,0
3,-0.007,0.01,False,0
4,-0.007,0.01,False,0
5,-0.007,0.01,False,0
6,-0.007,0.01,False,0
7,-0.007,0.01,False,0
8,-0.007,0.01,False,0
9,-0.007,0.01,False,0
10,-0.007,0.01,False,0
11,-0.007,0.01,False,0
12,-0.007,0.01,False,0
13,-0.007,0.01,False,0
14,-0.007,0.01,False,0
15,-0.007,0.01,False,0
16,-0.007,0.01,False,0
17,-0.007,0.01,False,0
18,-0.007,0.01,False,0
19,-0.007,0.01,False,0
20,-0.007,0.01,False,0
21,-0.007,0.01,False,0
22,-0.007,0.01,False,0
23,-0.007,0.01,False,0
24,-0.007,0.01,False,0
25,-0.007,0.01,False,0
26,-0.007,0.01,False,0
27,-0.007,0.01,False,0
28,-0.007,0.01,False,0
29,-0.007,0.01,False,0
30,-0.007,0.01,False,0
31,-0.007,0.01,False,0
32,-0.007,0.01,True,0.0001476214920484248
33,-0.007,0.01,False,0
34,-0.007,0.01,False,0
35,-0.007,0.01,False,0
36,-0.007,0.01,False,0
37,-0.007,0.01,False,0
38,-0.007,0.01,False,0
39,-0.007,0.01,False,0
40,-0.007,0.01,False,0
41,-0.007,0.01,False,0
42,-0.007,0.01,False,0
43,-0.007,0.01,False,0
44,-0.007,0.01,False,0
45,-0.007,0.01,False,0
46,-0.007,0.01,False,0
47,-0.007,0.01,False,0
48,-0.007,0.01,False,0
49,-0.007,0.01,False,0
50,-0.007,0.01,False,0
51,-0.007,0.01,False,0
52,-0.007,0.01,False,0
53,-0.007,0.01,False,0
54,-0.007,0.01,False,0
55,-0.007,0.01,False,0
56,-0.007,0.01,False,0
57,-0.007,0.01,False,0
58,-0.007,0.01,False,0
59,-0.007,0.01,False,0
60,-0.007,0.01,False,0
61,-0.007,0.01,False,0
62,-0.007,0.01,False,0
63,-0.007,0.01,False,0
64,-0.007,0.01,False,0
0,-0.006,0.01,False,0
1,-0.006,0.01,False,0
2,-0.006,0.01,False,0
3,-0.006,0.01,False,0
4,-0.006,0.01,False,0
5,-0.006,0.01,False,0
6,-0.006,0.01,False,0
7,-0.006,0.01,False,0
8,-0.006,0.01,True,0.000141916824901106
9,-0.006,0.01,False,0
10,-0.006,0.01,False,0
11,-0.006,0.01,False,0
12,-0.006,0.01,False,0
13,-0.006,0.01,False,0
14,-0.006,0.01,False,0
15,-0.006,0.01,False,0
16,-0.006,0.01,False,0
17,-0.006,0.01,False,0
18,-0.006,0.01,False,0
19,-0.006,0.01,False,0
20,-0.006,0.01,False,0
21,-0.006,0.01,False,0
22,-0.006,0.01,False,0
23,-0.006,0.01,False,0
24,-0.006,0.01,False,0
25,-0.006,0.01,False,0
26,-0.006,0.01,False,0
27,-0.006,0.01,False,0
28,-0.006,0.01,False,0
29,-0.006,0.01,False,0
30,-0.006,0.01,False,0
31,-0.006,0.01,False,0
32,-0.006,0.01,True,0.00014646360725886694
33,-0.006,0.01,False,0
34,-0.006,0.01,False,0
35,-0.006,0.01,False,0
36,-0.006,0.01,False,0
37,-0.006,0.01,False,0
38,-0.006,0.01,False,0
39,-0.006,0.01,False,0
40,-0.006,0.01,False,0
41,-0.006,0.01,False,0
42,-0.006,0.01,False,0
43,-0.006,0.01,False,0
44,-0.006,0.01,False,0
