alpha,offset,radius,hitted,tof_1,tof_2,tof_3,tof_4
-0.8834914340994849,0.0,0.07,True,2.6852959561844984e-05,4.5716963939540045e-06,4.571696393954009e-06,2.685295956184494e-05
-0.8815368070328932,0.0,0.07,True,2.6828983939262675e-05,4.595672016536275e-06,4.595672016536272e-06,2.6828983939262618e-05
-0.8795821799663014,0.0,0.07,True,2.680500277886085e-05,4.619653176938112e-06,4.6196531769381055e-06,2.6805002778860805e-05
-0.8776275528997096,0.0,0.07,True,2.6781016203344168e-05,4.643639752454808e-06,4.643639752454808e-06,2.6781016203344323e-05
-0.8756729258331178,0.0,0.07,True,2.67570243361391e-05,4.667631619659849e-06,4.667631619659852e-06,2.675702433613894e-05
-0.8737182987665261,0.0,0.07,True,2.673302730139764e-05,4.691628654401299e-06,4.6916286544013e-06,2.6733027301397684e-05
-0.8717636716999343,0.0,0.07,True,2.6709025224001074e-05,4.7156307317978855e-06,4.715630731797887e-06,2.6709025224001017e-05
-0.8698090446333425,0.0,0.07,True,2.6685018229563705e-05,4.739637726235261e-06,4.7396377262352636e-06,2.6685018229563786e-05
-0.8678544175667507,0.0,0.07,True,2.6661006444436626e-05,4.763649511362313e-06,4.763649511362311e-06,2.6661006444436728e-05
-0.8658997905001589,0.0,0.07,True,2.6636989995711515e-05,4.787665960087434e-06,4.7876659600874215e-06,2.6636989995711566e-05
-0.8639451634335671,0.0,0.07,True,2.661296901122441e-05,4.811686944574537e-06,4.811686944574538e-06,2.6612969011224175e-05
-0.8619905363669753,0.0,0.07,True,2.658894361955953e-05,4.8357123362394155e-06,4.8357123362394045e-06,2.658894361955953e-05
-0.8600359093003835,0.0,0.07,True,2.656491395005309e-05,4.8597420057458685e-06,4.859742005745865e-06,2.6564913950053457e-05
-0.8580812822337918,0.0,0.07,True,2.654088013279714e-05,4.883775823001828e-06,4.883775823001833e-06,2.654088013279712e-05
-0.8561266551672,0.0,0.07,True,2.6516842298643426e-05,4.907813657155528e-06,4.907813657155526e-06,2.651684229864378e-05
-0.8541720281006082,0.0,0.07,True,2.6492800579207216e-05,4.931855376591749e-06,4.931855376591751e-06,2.6492800579207165e-05
-0.8522174010340164,0.0,0.07,True,2.6468755106871224e-05,4.955900848927707e-06,4.955900848927713e-06,2.6468755106871187e-05
-0.8502627739674247,0.0,0.07,True,2.6444706014789457e-05,4.979949941009483e-06,4.979949941009484e-06,2.6444706014789413e-05
-0.8483081469008329,0.0,0.07,True,2.6420653436891145e-05,5.004002518907813e-06,5.004002518907811e-06,2.642065343689129e-05
-0.8463535198342411,0.0,0.07,True,2.6396597507884647e-05,5.028058447914318e-06,5.028058447914322e-06,2.6396597507884864e-05
-0.8443988927676493,0.0,0.07,True,2.6372538363261385e-05,5.052117592537561e-06,5.052117592537564e-06,2.6372538363261307e-05
-0.8424442657010576,0.0,0.07,True,2.634847613929978e-05,5.076179816499169e-06,5.076179816499165e-06,2.6348476139299936e-05
-0.8404896386344658,0.0,0.07,True,2.632441097306918e-05,5.1002449827298025e-06,5.100244982729805e-06,2.632441097306927e-05
-0.838535011567874,0.0,0.07,True,2.6300343002433896e-05,5.124312953365053e-06,5.124312953365047e-06,2.6300343002433865e-05
-0.8365803845012822,0.0,0.07,True,2.627627236605711e-05,5.148383589741851e-06,5.1483835897418435e-06,2.6276272366057195e-05
-0.8346257574346905,0.0,0.07,True,2.6252199203404892e-05,5.1724567523940845e-06,5.172456752394077e-06,2.625219920340484e-05
-0.8326711303680987,0.0,0.07,True,2.6228123654750248e-05,5.196532301048701e-06,5.196532301048694e-06,2.622812365475023e-05
-0.8307165033015068,0.0,0.07,True,2.620404586117704e-05,5.2206100946219255e-06,5.220610094621919e-06,2.6204045861176983e-05
-0.828761876234915,0.0,0.07,True,2.6179965964584113e-05,5.2446899912148395e-06,5.244689991214836e-06,2.617996596458423e-05
-0.8268072491683233,0.0,0.07,True,2.6155884107689273e-05,5.268771848109672e-06,5.2687718481096685e-06,2.615588410768937e-05
-0.8248526221017315,0.0,0.07,True,2.6131800434033363e-05,5.292855521765599e-06,5.292855521765593e-06,2.6131800434033495e-05
-0.8228979950351397,0.0,0.07,True,2.6107715087984326e-05,5.316940867814621e-06,5.316940867814625e-06,2.6107715087984353e-05
-0.8209433679685479,0.0,0.07,True,2.6083628214741282e-05,5.3410277410576515e-06,5.341027741057649e-06,2.6083628214741404e-05
-0.8189887409019562,0.0,0.07,True,2.6059539960338597e-05,5.365115995460352e-06,5.365115995460341e-06,2.6059539960338647e-05
-0.8170341138353644,0.0,0.07,True,2.6035450471650007e-05,5.389205484148944e-06,5.389205484148955e-06,2.603545047165004e-05
-0.8150794867687726,0.0,0.07,True,2.601135989639271e-05,5.41329605940626e-06,5.413296059406257e-06,2.6011359896392638e-05
-0.8131248597021808,0.0,0.07,True,2.5987268383131478e-05,5.437387572667513e-06,5.437387572667521e-06,2.5987268383131576e-05
-0.8111702326355891,0.0,0.07,True,2.596317608128283e-05,5.4614798745161495e-06,5.461479874516143e-06,2.5963176081282772e-05
-0.8092156055689973,0.0,0.07,True,2.5939083141119108e-05,5.485572814679833e-06,5.485572814679827e-06,2.5939083141119213e-05
-0.8072609785024055,0.0,0.07,True,2.591498971377268e-05,5.5096662420262895e-06,5.509666242026275e-06,2.591498971377267e-05
-0.8053063514358137,0.0,0.07,True,2.589089595124009e-05,5.533760004558856e-06,5.533760004558863e-06,2.589089595124e-05
-0.803351724369222,0.0,0.07,True,2.5866802006386222e-05,5.557853949412727e-06,5.557853949412734e-06,2.586680200638632e-05
-0.8013970973026301,0.0,0.07,True,2.5842708032948465e-05,5.581947922850488e-06,5.581947922850478e-06,2.5842708032948566e-05
-0.7994424702360383,0.0,0.07,True,2.5818614185540953e-05,5.606041770258005e-06,5.606041770258005e-06,2.5818614185540916e-05
-0.7974878431694465,0.0,0.07,True,2.5794520619658723e-05,5.630135336140229e-06,5.630135336140236e-06,2.5794520619658746e-05
-0.7955332161028548,0.0,0.07,True,2.5770427491681935e-05,5.654228464117031e-06,5.654228464117034e-06,2.5770427491682016e-05
-0.793578589036263,0.0,0.07,True,2.5746334958880088e-05,5.678320996918852e-06,5.6783209969188485e-06,2.574633495888004e-05
-0.7916239619696712,0.0,0.07,True,2.5722243179416273e-05,5.7024127763826755e-06,5.7024127763826755e-06,2.5722243179416198e-05
-0.7896693349030794,0.0,0.07,True,2.5698152312351357e-05,5.726503643447584e-06,5.726503643447584e-06,2.5698152312351324e-05
-0.7877147078364877,0.0,0.07,True,2.5674062517648293e-05,5.750593438150675e-06,5.750593438150678e-06,2.5674062517648354e-05
-0.7857600807698959,0.0,0.07,True,2.5649973956176327e-05,5.774681999622629e-06,5.774681999622621e-06,2.5649973956176344e-05
-0.7838054537033041,0.0,0.07,True,2.5625886789715254e-05,5.798769166083699e-06,5.798769166083707e-06,2.562588678971512e-05
-0.7818508266367123,0.0,0.07,True,2.560180118095972e-05,5.8228547748392346e-06,5.8228547748392346e-06,2.5601801180959684e-05
-0.7798961995701206,0.0,0.07,True,2.557771729352348e-05,5.846938662275461e-06,5.846938662275464e-06,2.5577717293523385e-05
-0.7779415725035288,0.0,0.07,True,2.555363529194366e-05,5.8710206638553155e-06,5.871020663855326e-06,2.5553635291943727e-05
-0.775986945436937,0.0,0.07,True,2.5529555341685092e-05,5.895100614113852e-06,5.89510061411385e-06,2.5529555341684977e-05
-0.7740323183703453,0.0,0.07,True,2.550547760914456e-05,5.919178346654412e-06,5.919178346654412e-06,2.5505477609144505e-05
-0.7720776913037535,0.0,0.07,True,2.5481402261655144e-05,5.943253694143818e-06,5.943253694143825e-06,2.5481402261655184e-05
-0.7701230642371617,0.0,0.07,True,2.5457329467490484e-05,5.967326488308478e-06,5.967326488308476e-06,2.545732946749041e-05
-0.7681684371705699,0.0,0.07,True,2.5433259395869146e-05,5.991396559929804e-06,5.991396559929804e-06,2.5433259395869065e-05
-0.7662138101039782,0.0,0.07,True,2.54091922169589e-05,6.01546373884005e-06,6.0154637388400574e-06,2.540919221695879e-05
-0.7642591830373863,0.0,0.07,True,2.538512810188105e-05,6.039527853917894e-06,6.039527853917894e-06,2.5385128101881094e-05
-0.7623045559707945,0.0,0.07,True,2.536106722271479e-05,6.063588733084195e-06,6.063588733084198e-06,2.5361067222714767e-05
-0.7603499289042027,0.0,0.07,True,2.5337009752501505e-05,6.087646203297444e-06,6.087646203297447e-06,2.533700975250156e-05
-0.758395301837611,0.0,0.07,True,2.531295586524911e-05,6.111700090549855e-06,6.111700090549855e-06,2.531295586524923e-05
-0.7564406747710192,0.0,0.07,True,2.5288905735936426e-05,6.1357502198625325e-06,6.1357502198625495e-06,2.528890573593639e-05
